init_state,found,time_millis,steps,solution
4 8 7 0 6 3 2 1 5,0,2659,NA,NA
5 1 2 3 7 8 6 4 0,0,3136,NA,NA
1 6 4 3 8 5 0 7 2,1,31,22,R U R D L U R U L D L U R D R U L L D R D R
1 2 5 4 6 3 7 8 0,1,1,14,U U L D R D L U U R D L D R
8 6 5 0 7 2 3 1 4,1,297,27,D R U R U L D L U R D L D R U R D L U R U L L D R D R
4 1 0 2 5 8 6 3 7,1,63,26,L D D R U L L D R R U L U R D D L U L U R R D L D R
6 0 4 8 5 7 1 2 3,0,3007,NA,NA
6 5 4 7 1 8 0 3 2,1,16,22,U R R D L U U R D D L U U L D R U R D L D R
4 6 0 7 5 3 1 8 2,0,3581,NA,NA
8 3 2 7 0 1 4 6 5,0,3070,NA,NA
6 4 1 0 2 3 8 7 5,0,3345,NA,NA
6 1 7 5 4 3 8 2 0,1,263,26,U U L L D R D L U R R D L U U R D L L U R D L D R R
0 6 8 5 3 7 2 4 1,1,21,22,D D R R U U L D D R U U L D L U R D L D R R
1 5 4 8 3 6 0 2 7,0,3036,NA,NA
3 4 5 7 8 6 0 2 1,0,3018,NA,NA
8 4 5 2 0 3 1 6 7,0,3387,NA,NA
8 1 7 2 6 4 5 0 3,0,2995,NA,NA
0 1 8 6 5 4 3 2 7,1,144,28,R D D R U U L D L D R R U L L U R D D R U U L L D R R D
6 5 4 1 2 0 8 7 3,0,3290,NA,NA
7 3 1 5 4 0 8 2 6,0,2949,NA,NA
5 3 8 2 6 7 4 0 1,0,3274,NA,NA
5 6 7 0 8 1 3 2 4,0,2818,NA,NA
8 2 5 6 1 3 4 0 7,1,23,23,R U U L D L U R D L D R U R D L U U R D L D R
7 4 6 0 3 2 1 5 8,1,16,23,U R D R U L D D L U R D R U U L D L U R R D D
3 5 4 8 2 1 0 7 6,0,2964,NA,NA
2 4 6 3 8 7 1 5 0,1,44,22,U L L U R D D R U U L L D D R U U L D R D R
7 1 6 5 2 8 4 3 0,1,13,18,U L D L U U R D D L U R R U L D D R
0 3 7 5 4 6 2 1 8,0,3018,NA,NA
2 6 4 7 0 5 1 3 8,1,39,22,D R U U L D R D L U L D R U R U L L D D R R
3 6 0 4 2 8 1 5 7,1,18,20,L L D R D R U U L L D D R U U L D R D R
2 1 6 8 7 0 4 3 5,1,108,25,D L U L D R U U R D D L L U R U R D L U L D D R R
6 3 5 7 0 1 4 8 2,0,2949,NA,NA
1 4 5 7 2 6 0 3 8,1,18,20,R R U L U R D D L L U R D R U L U R D D
